,AbdelrahmanHassan/whisper-large-v3-egyptian-arabic,AtlaAI/Selene-1-Mini-Llama-3.1-8B,AtlaAI/Selene-1-Mini-Llama-3.1-8B-GPTQ-W8A8,Byne/whisper-large-v3-arabic,DevQuasar/Qwen2.5-0.5B-GGUF,Emmet-Allen/christAIn-uncensored,Falconsai/nsfw_image_detection,FinGPT/fingpt-forecaster_dow30_llama2-7b_lora,FranckLucas08/Fine-Tuned_Lily,GRMenon/mental-health-mistral-7b-instructv0.2-finetuned-V2,Gensyn/Qwen2.5-0.5B-Instruct,Gensyn/Qwen2.5-1.5B-Instruct,Irfanuruchi/qwen2.5-1.5b-dsp-finetuned,JunHowie/Qwen3-8B-GPTQ-Int4,KurmaAI/AQUA-1B,LilRg/ECE-1B-merge-PRYMMAL,LunaticPython161/CyberWitch-7B,Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,Open-Bee/Bee-8B-RL,Oufei123/openai-whisper-large-v3-LORA-colab,Pista1981/Child-0a24ec-python-0a24ec-015022,QuantFactory/Qwen2.5-Coder-1.5B-Instruct-GGUF,Qwen/Qwen2-7B,Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct-GGUF,Qwen/Qwen2-7B-Instruct-GPTQ-Int4,Qwen/Qwen2-VL-2B,Qwen/Qwen2-VL-2B-Instruct,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct-GPTQ-Int4,Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen3-8B,Qwen/Qwen3-8B-GGUF,RakshitAi/AtmaLLaMA,RaykieLee/task-17-Qwen-Qwen2.5-0.5B,ResplendentAI/Qwen_Sissification_LoRA_128,ResplendentAI/Qwen_Soul_LoRA_128,ResplendentAI/Qwen_jeiku_LoRA_128,TECHNOPRAVIN01/Qwen2.5-14B-Valor,Tensoic/TinyLlama-1.1B-3T-openhermes,TheBloke/Llama-2-7B-Chat-GPTQ,TheBloke/Mistral-7B-Instruct-v0.2-GGUF,TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,WizardLMTeam/WizardMath-7B-V1.1,amit2-0kr/food-disease-chatbot-recommender-v1,arcee-ai/Virtuoso-Small,bartowski/Meta-Llama-3.1-8B-Instruct-GGUF,bartowski/Qwen2.5-14B-Instruct-GGUF,codelion/gemma-3-1b-it-reasoning-grpo-lora,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,distilbert/distilgpt2,dphn/Dolphin3.0-Llama3.2-1B,dphn/Dolphin3.0-Qwen2.5-0.5B,dphn/dolphin-2.8-mistral-7b-v02,eiknarf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-rapid_stocky_stork,facebook/opt-125m,failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,featherless-ai-quants/Gensyn-Qwen2.5-0.5B-Instruct-GGUF,feelconstantfear/Llama-3.2-1B-QPTQ,gaunernst/gemma-3-1b-it-int4-awq,google/flan-t5-base,google/gemma-3-1b-it,grimjim/Llama-3-Instruct-abliteration-LoRA-8B,grimjim/Llama-3.1-8B-Instruct-abliterated_via_adapter,hanad/self_harm_detection,huihui-ai/Qwen2.5-Coder-1.5B-Instruct-abliterated,iqbalamo93/Meta-Llama-3.1-8B-Instruct-GPTQ-Q_8,jeergrvgreg/uplifting-filter-v5,jeiku/Aura_Qwen2_v2_7B,jeiku/dontusethis,jinaai/jina-reranker-m0,lakhera2023/Qwen-model,lamptablet/gpt2-Q8_0-GGUF,lemon07r/Qwen3-R1-SLERP-Q3T-8B,lightonai/MonoQwen2-VL-v0.1,marianoiry/gensyn-checkpoints-sturdy_twitchy_jay,marroyo777/flan-t5-base-Q4_K_M-GGUF,mergekit-community/mergekit-slerp-lxmmvuv,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B,meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,miosipov/asr2_medium_CRSPR_v0.5,mistral-community/Mistral-7B-v0.2,mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-v0.1,monsterapi/gpt2_alpaca-lora,monsterapi/opt125M_alpaca,mradermacher/AtmaLLaMA-GGUF,mradermacher/Dolphin3.0-Qwen2.5-0.5B-GGUF,mradermacher/Qwen2.5-0.5B-i1-GGUF,mradermacher/Qwen2.5-Coder-1.5B-Instruct-abliterated-GGUF,mssongit/Qwen2.5-14B-SFT-LoRA-6e-5,nm-testing/whisper-large-v3.w4a16,nvidia/llama-3.1-nemoguard-8b-content-safety,nyrahealth/CrisperWhisper,openai-community/gpt2,openai/whisper-large-v3,osunlp/UGround-V1-2B,phanerozoic/Tiny-Pirate-1.1b-v0.1,podsni/hades-1B,postbot/distilgpt2-emailgen,prithivMLmods/Bee-8B-RL-abliterated,pszemraj/opt-125m-email-generation,s3nh/TinyLLama-4x1.1B-MoE,segolilylabs/Lily-Cybersecurity-7B-v0.2,smgriffin/pop-lyrics-generator-v1,straino/Qwen2.5-0.5B-Instruct-Q4_K_M-GGUF,svjack/Qwen2-7B_Function_Call_tiny_lora,tahamajs/LLaMA-3-2-LoRA-EmotionTune-Full,tgtgeo/gensyn-checkpoints-jumping_gentle_ant,trumancai/Revela-500M,unsloth/gemma-3-1b-it-GGUF,v000000/Qwen2.5-Lumen-14B,vanshs613/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-soaring_dappled_hippo,vanta-research/apollo-astralis-8b,victorwkey/vit-food101,wulli/Qwen2.5-0.5B-sft-capybara
AbdelrahmanHassan/whisper-large-v3-egyptian-arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtlaAI/Selene-1-Mini-Llama-3.1-8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtlaAI/Selene-1-Mini-Llama-3.1-8B-GPTQ-W8A8,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byne/whisper-large-v3-arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevQuasar/Qwen2.5-0.5B-GGUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmet-Allen/christAIn-uncensored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falconsai/nsfw_image_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinGPT/fingpt-forecaster_dow30_llama2-7b_lora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FranckLucas08/Fine-Tuned_Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRMenon/mental-health-mistral-7b-instructv0.2-finetuned-V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gensyn/Qwen2.5-0.5B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gensyn/Qwen2.5-1.5B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irfanuruchi/qwen2.5-1.5b-dsp-finetuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JunHowie/Qwen3-8B-GPTQ-Int4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KurmaAI/AQUA-1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LilRg/ECE-1B-merge-PRYMMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merge,merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LunaticPython161/CyberWitch-7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merge,,,,,,,,,,,,
Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merge,merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open-Bee/Bee-8B-RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oufei123/openai-whisper-large-v3-LORA-colab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pista1981/Child-0a24ec-python-0a24ec-015022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantFactory/Qwen2.5-Coder-1.5B-Instruct-GGUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2-7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2-7B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2-7B-Instruct-GGUF,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2-7B-Instruct-GPTQ-Int4,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2-VL-2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2-VL-2B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-0.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-0.5B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-1.5B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-14B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-14B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-14B-Instruct-GPTQ-Int4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,
Qwen/Qwen2.5-Coder-1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen3-8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen3-8B-GGUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RakshitAi/AtmaLLaMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
